Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Math_sem1,Math_sem2,Science_sem1,Science_sem2,English_sem1,English_sem2,Roll_No,Attendance,Name
1,8,5,2,1,1,1,13,10,6,10,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,28,22,45,32,9,73,1,63,Ian
1,6,1,11,1,1,1,1,3,4,4,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate,81,64,81,25,77,15,2,68,Eva
1,1,5,5,1,1,1,22,27,10,10,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,83,91,84,46,69,39,3,78,Alice
1,8,2,15,1,1,1,23,27,6,4,1,0,0,1,0,0,20,0,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,41,75,49,9,56,4,4,57,Jack
2,12,1,3,0,1,1,22,28,10,10,0,0,0,1,0,0,45,0,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,40,95,88,43,12,56,5,87,Eva
2,12,1,17,0,12,1,22,27,10,8,0,0,1,1,1,0,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,49,93,53,88,33,93,6,90,Charlie
1,1,1,12,1,1,1,13,28,8,11,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate,9,97,16,53,55,0,7,71,Hannah
1,9,4,11,1,1,1,22,27,10,10,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,29,43,59,43,39,15,8,70,Ian
1,1,3,10,1,1,15,1,1,10,10,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate,12,75,72,76,6,92,9,64,Frank
1,1,1,10,1,1,1,1,14,5,8,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,21,24,18,72,9,89,10,91,Jack
1,1,1,14,1,1,1,23,14,6,8,1,0,0,1,0,0,18,0,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,92,58,35,70,24,73,11,88,Jack
1,1,1,12,1,1,1,13,28,10,10,1,0,0,1,0,1,18,0,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate,66,71,52,35,6,77,12,92,Hannah
1,1,2,16,1,1,1,13,27,5,10,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,84,77,75,97,17,31,13,87,Ian
1,17,1,11,1,16,1,1,1,5,8,1,0,0,1,0,1,21,0,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate,63,0,9,65,32,56,14,51,Ian
1,1,1,6,1,1,1,23,27,6,6,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,13,59,97,90,17,31,15,81,Ian
1,1,1,15,1,1,1,13,27,10,4,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,11,88,22,40,98,30,16,60,Grace
1,9,1,10,1,1,1,13,28,6,9,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled,71,69,84,36,89,35,17,78,Eva
1,8,2,12,1,1,1,13,1,6,5,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate,35,94,48,31,37,26,18,97,Jack
1,1,1,8,1,1,1,3,14,4,6,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,64,76,99,25,56,3,19,56,Charlie
1,1,1,16,1,1,1,13,14,8,8,1,0,0,1,0,0,18,0,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled,25,29,7,49,78,42,20,92,David
1,1,3,2,1,1,1,1,1,10,9,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,10,35,5,60,10,66,21,64,Frank
1,9,4,13,1,1,1,1,28,5,8,1,0,0,1,0,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled,60,42,66,0,68,0,22,69,Bob
1,1,4,12,1,1,1,13,14,2,2,1,0,0,1,0,0,18,0,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate,62,43,79,72,76,82,23,79,Hannah
1,1,4,14,1,1,1,1,28,5,8,1,0,0,1,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate,14,5,21,32,83,30,24,78,Jack
1,1,1,12,1,1,1,13,14,4,8,0,0,0,1,0,0,19,0,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate,92,37,25,8,47,67,25,58,Jack
1,1,1,10,1,1,1,13,28,10,10,1,0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled,64,97,15,61,75,52,26,64,Hannah
